GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.config,SwaggerConfig,144,0,6,0,33,0,8,0,5,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.config,OracleConfiguration,5,0,0,0,2,0,2,0,2,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.services,BabiloniaService,48,0,4,0,14,0,4,0,2,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.services,CustomResponseErrorHandler,49,0,0,0,11,0,3,0,3,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.services,RemoteService,101,0,6,0,24,0,7,0,4,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.exceptions,NoDataFoundException,16,0,0,0,8,0,4,0,4,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.exceptions,WSException,19,0,0,0,9,0,5,0,5,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.exceptions,BabiloniaException,16,0,0,0,8,0,4,0,4,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.exceptions,InvalidTokenException,16,0,0,0,8,0,4,0,4,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.dominio.enums,SituacaoEnum,0,50,0,0,0,9,0,2,0,2
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia,Babilonia,16,0,0,0,6,0,4,0,4,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.dominio,Cidadao,119,0,30,0,30,0,18,0,3,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.dominio,Municipio,11,0,2,0,1,0,2,0,1,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.utils,ApplicationUtilities,64,0,2,0,14,0,4,0,3,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.utils,JwtUtilities,79,0,4,0,22,0,6,0,4,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.apresentacao.v1,CidadaoController,147,0,0,0,40,0,6,0,6,0
br.com.wagnersoft.babilonia,br.com.wagnersoft.babilonia.apresentacao.v2,CidadaoController,104,0,0,0,28,0,4,0,4,0
